Date,Total
16/09/2022,51621273481.88395
17/09/2022,51893511785.929245
18/09/2022,52517673018.74908
19/09/2022,51000420514.40848
20/09/2022,51378267072.09776
21/09/2022,51247331599.43996
22/09/2022,50176148002.92244
23/09/2022,52588121111.08221
24/09/2022,52593087920.06347
25/09/2022,52118570629.02242
26/09/2022,51947201903.15303
27/09/2022,52607757873.18322
28/09/2022,52515090515.48575
29/09/2022,52767811587.8239
30/09/2022,52808832246.42708
01/10/2022,52662158213.43613
02/10/2022,53007097454.01365
03/10/2022,52477838444.308685
04/10/2022,53049220249.11257
05/10/2022,53553124767.30643
06/10/2022,53620407793.49062
07/10/2022,53499477657.41202
08/10/2022,52904581884.78358
09/10/2022,52662343476.65651
10/10/2022,52184189136.94175
11/10/2022,52051798122.0629
12/10/2022,52052635724.37444
13/10/2022,51735031557.0632
14/10/2022,51249651577.73048
15/10/2022,51228559152.27722
16/10/2022,51082213037.42998
17/10/2022,51500251814.5552
18/10/2022,51512057621.05692
19/10/2022,51313487145.9117
20/10/2022,50883848831.3073
21/10/2022,50330899586.88369
22/10/2022,50362915676.02085
23/10/2022,50450397718.55051
24/10/2022,51318187799.54763
25/10/2022,50750827636.26
26/10/2022,52424652705.37213
27/10/2022,53680573104.73926
28/10/2022,53018123606.01991
29/10/2022,53571009893.87865
30/10/2022,54450011682.78804
31/10/2022,54127235855.94704
01/11/2022,53583041388.033325
02/11/2022,52994983901.39789
03/11/2022,52632214481.226326
04/11/2022,52898385914.92809
05/11/2022,54763032150.08625
06/11/2022,54440694577.498566
07/11/2022,53508568076.31122
08/11/2022,53316802731.01597
09/11/2022,48194358244.97927
10/11/2022,42809663880.48952
11/11/2022,44579405644.5049
12/11/2022,43595434366.7996
13/11/2022,42889263416.21473
14/11/2022,42009166906.71745
15/11/2022,42110645941.48711
16/11/2022,42514852265.98041
17/11/2022,41851659761.77436
18/11/2022,41971636432.09064
19/11/2022,41865413192.47141
20/11/2022,41611268451.53139
21/11/2022,40384275490.44802
22/11/2022,40131797459.61723
23/11/2022,40128982069.78885
24/11/2022,40655898912.95523
25/11/2022,40404045880.2584
26/11/2022,40355024292.46717
27/11/2022,40858970886.03122
28/11/2022,40662717600.2621
29/11/2022,40000260436.74877
30/11/2022,40995204597.08163
01/12/2022,41544728033.5037
02/12/2022,41587289761.31249
03/12/2022,41041644112.31314
04/12/2022,41021791021.8071
05/12/2022,41655439720.547935
06/12/2022,41126576694.75658
